"case","period","daynight","mode","hours","percentExpected"
"base","2026-02","night","MISSING_DATA","7","2.0833333333333335"
"base","2026-02","all","HEAT_MIN_VENT","7","1.0416666666666667"
"base","2026-02","day","HEAT_MIN_VENT","4","1.1904761904761905"
"base","2026-02","night","HEAT_MIN_VENT","3","0.8928571428571429"
"base","all","all","PAD_INEFFECTIVE_DEHU_NEEDED","2300","37.78544438968293"
"base","2026-02","all","PAD_INEFFECTIVE_DEHU_NEEDED","1","0.1488095238095238"
"base","all","night","PAD_INEFFECTIVE_DEHU_NEEDED","1505","49.47403024326101"
"base","2026-02","night","PAD_INEFFECTIVE_DEHU_NEEDED","1","0.2976190476190476"
"base","all","all","PAD_EFFECTIVE","67","1.1007064235255462"
"base","2026-02","all","PAD_EFFECTIVE","2","0.2976190476190476"
"base","all","night","PAD_EFFECTIVE","55","1.8080210387902695"
"base","2026-02","night","PAD_EFFECTIVE","2","0.5952380952380952"
"base","2026-03","all","HEAT_MAJOR_VENT_DRY","418","56.258411843876175"
"base","2026-03","night","HEAT_MAJOR_VENT_DRY","211","56.8733153638814"
"base","2026-03","day","HEAT_MAJOR_VENT_DRY","207","55.645161290322584"
"base","2026-03","all","HEAT_MIN_VENT","10","1.3458950201884252"
"base","2026-03","day","HEAT_MIN_VENT","9","2.4193548387096775"
"base","2026-03","all","PASSIVE_VENT_COOL_DRY","74","9.959623149394348"
"base","2026-03","day","PASSIVE_VENT_COOL_DRY","65","17.473118279569892"
"base","2026-03","all","PASSIVE_HUMIDIFY_OPPORTUNITY","61","8.209959623149395"
"base","all","day","PASSIVE_HUMIDIFY_OPPORTUNITY","77","2.528735632183908"
"base","2026-03","day","PASSIVE_HUMIDIFY_OPPORTUNITY","27","7.258064516129032"
"base","2026-03","all","PAD_INEFFECTIVE_DEHU_NEEDED","94","12.651413189771198"
"base","2026-03","night","PAD_INEFFECTIVE_DEHU_NEEDED","75","20.21563342318059"
"base","2026-03","all","PASSIVE_VENT_COOL_HUMID","20","2.6917900403768504"
"base","all","day","PASSIVE_VENT_COOL_HUMID","398","13.070607553366173"
"base","2026-03","day","PASSIVE_VENT_COOL_HUMID","20","5.376344086021505"
"base","2026-03","all","NEUTRAL_MIN_VENT","13","1.749663526244953"
"base","2026-03","night","NEUTRAL_MIN_VENT","7","1.8867924528301887"
"base","2026-03","night","PASSIVE_HUMIDIFY_OPPORTUNITY","34","9.164420485175203"
"base","2026-03","night","HEAT_MIN_VENT","1","0.2695417789757412"
"base","2026-03","all","PAD_EFFECTIVE","32","4.306864064602961"
"base","2026-03","night","PAD_EFFECTIVE","22","5.929919137466308"
"base","2026-03","all","ACTIVE_HUMIDIFICATION_LIKELY","20","2.6917900403768504"
"base","2026-03","night","ACTIVE_HUMIDIFICATION_LIKELY","11","2.964959568733154"
"base","2026-03","night","PASSIVE_VENT_COOL_DRY","9","2.4258760107816713"
"base","all","day","NEUTRAL_MIN_VENT","344","11.29720853858785"
"base","2026-03","day","NEUTRAL_MIN_VENT","6","1.6129032258064515"
"base","2026-03","day","ACTIVE_HUMIDIFICATION_LIKELY","9","2.4193548387096775"
"base","all","day","PAD_EFFECTIVE","12","0.39408866995073893"
"base","2026-03","day","PAD_EFFECTIVE","10","2.6881720430107525"
"base","all","day","PAD_INEFFECTIVE_DEHU_NEEDED","795","26.108374384236452"
"base","2026-03","day","PAD_INEFFECTIVE_DEHU_NEEDED","19","5.10752688172043"
"base","all","all","PAD_MARGINAL","2","0.032856908164941676"
"base","2026-03","all","PAD_MARGINAL","1","0.13458950201884254"
"base","all","night","PAD_MARGINAL","2","0.06574621959237344"
"base","2026-03","night","PAD_MARGINAL","1","0.2695417789757412"
"base","2026-04","all","PAD_INEFFECTIVE_DEHU_NEEDED","119","16.52777777777778"
"base","2026-04","night","PAD_INEFFECTIVE_DEHU_NEEDED","112","31.11111111111111"
"base","2026-04","all","PASSIVE_VENT_COOL_DRY","62","8.61111111111111"
"base","2026-04","day","PASSIVE_VENT_COOL_DRY","54","15"
"base","2026-04","all","PASSIVE_HUMIDIFY_OPPORTUNITY","27","3.75"
"base","2026-04","day","PASSIVE_HUMIDIFY_OPPORTUNITY","15","4.166666666666667"
"base","2026-04","all","PASSIVE_VENT_COOL_HUMID","107","14.86111111111111"
"base","2026-04","day","PASSIVE_VENT_COOL_HUMID","105","29.166666666666668"
"base","2026-04","all","NEUTRAL_MIN_VENT","68","9.444444444444445"
"base","2026-04","day","NEUTRAL_MIN_VENT","32","8.88888888888889"
"base","2026-04","night","NEUTRAL_MIN_VENT","36","10"
"base","2026-04","all","HEAT_VENT_HUMID","36","5"
"base","2026-04","day","HEAT_VENT_HUMID","21","5.833333333333333"
