"case","period","daynight","mode","hours","percentExpected"
"pad_0.7","all","day","ACTIVE_HUMIDIFICATION_LIKELY","38","1.2479474548440066"
"pad_0.7","2026-02","day","ACTIVE_HUMIDIFICATION_LIKELY","5","1.4880952380952381"
"pad_0.7","2026-02","night","ACTIVE_HUMIDIFICATION_LIKELY","8","2.380952380952381"
"pad_0.7","2026-02","all","NEUTRAL_MIN_VENT","3","0.44642857142857145"
"pad_0.7","2026-02","night","NEUTRAL_MIN_VENT","3","0.8928571428571429"
"pad_0.7","all","all","PASSIVE_HUMIDIFY_OPPORTUNITY","172","2.8256941021849844"
"pad_0.7","2026-02","all","PASSIVE_HUMIDIFY_OPPORTUNITY","9","1.3392857142857142"
"pad_0.7","all","night","PASSIVE_HUMIDIFY_OPPORTUNITY","95","3.1229454306377384"
"pad_0.7","2026-02","night","PASSIVE_HUMIDIFY_OPPORTUNITY","9","2.6785714285714284"
"pad_0.7","2026-02","night","PASSIVE_VENT_COOL_DRY","8","2.380952380952381"
"pad_0.7","2026-02","night","MISSING_DATA","7","2.0833333333333335"
"pad_0.7","2026-02","all","HEAT_MIN_VENT","7","1.0416666666666667"
"pad_0.7","2026-02","day","HEAT_MIN_VENT","4","1.1904761904761905"
"pad_0.7","2026-02","night","HEAT_MIN_VENT","3","0.8928571428571429"
"pad_0.7","all","all","PAD_EFFECTIVE","64","1.0514210612781336"
"pad_0.7","2026-02","all","PAD_EFFECTIVE","3","0.44642857142857145"
"pad_0.7","all","night","PAD_EFFECTIVE","49","1.6107823800131493"
"pad_0.7","2026-02","night","PAD_EFFECTIVE","3","0.8928571428571429"
"pad_0.7","2026-03","all","HEAT_MAJOR_VENT_DRY","418","56.258411843876175"
"pad_0.7","2026-03","night","HEAT_MAJOR_VENT_DRY","211","56.8733153638814"
"pad_0.7","2026-03","day","HEAT_MAJOR_VENT_DRY","207","55.645161290322584"
"pad_0.7","2026-03","all","HEAT_MIN_VENT","10","1.3458950201884252"
"pad_0.7","2026-03","day","HEAT_MIN_VENT","9","2.4193548387096775"
"pad_0.7","2026-03","all","PASSIVE_VENT_COOL_DRY","74","9.959623149394348"
"pad_0.7","2026-03","day","PASSIVE_VENT_COOL_DRY","65","17.473118279569892"
"pad_0.7","2026-03","all","PASSIVE_HUMIDIFY_OPPORTUNITY","61","8.209959623149395"
"pad_0.7","all","day","PASSIVE_HUMIDIFY_OPPORTUNITY","77","2.528735632183908"
"pad_0.7","2026-03","day","PASSIVE_HUMIDIFY_OPPORTUNITY","27","7.258064516129032"
"pad_0.7","all","all","PAD_INEFFECTIVE_DEHU_NEEDED","2288","37.58830294069328"
"pad_0.7","2026-03","all","PAD_INEFFECTIVE_DEHU_NEEDED","86","11.574697173620457"
"pad_0.7","all","night","PAD_INEFFECTIVE_DEHU_NEEDED","1496","49.17817225509533"
"pad_0.7","2026-03","night","PAD_INEFFECTIVE_DEHU_NEEDED","70","18.867924528301888"
"pad_0.7","2026-03","all","PASSIVE_VENT_COOL_HUMID","20","2.6917900403768504"
"pad_0.7","all","day","PASSIVE_VENT_COOL_HUMID","398","13.070607553366173"
"pad_0.7","2026-03","day","PASSIVE_VENT_COOL_HUMID","20","5.376344086021505"
"pad_0.7","2026-03","all","NEUTRAL_MIN_VENT","13","1.749663526244953"
"pad_0.7","2026-03","night","NEUTRAL_MIN_VENT","7","1.8867924528301887"
"pad_0.7","2026-03","night","PASSIVE_HUMIDIFY_OPPORTUNITY","34","9.164420485175203"
"pad_0.7","2026-03","night","HEAT_MIN_VENT","1","0.2695417789757412"
"pad_0.7","2026-03","all","PAD_EFFECTIVE","33","4.441453566621804"
"pad_0.7","2026-03","night","PAD_EFFECTIVE","20","5.390835579514825"
"pad_0.7","2026-03","all","ACTIVE_HUMIDIFICATION_LIKELY","20","2.6917900403768504"
"pad_0.7","2026-03","night","ACTIVE_HUMIDIFICATION_LIKELY","11","2.964959568733154"
"pad_0.7","2026-03","night","PASSIVE_VENT_COOL_DRY","9","2.4258760107816713"
"pad_0.7","all","day","NEUTRAL_MIN_VENT","344","11.29720853858785"
"pad_0.7","2026-03","day","NEUTRAL_MIN_VENT","6","1.6129032258064515"
"pad_0.7","2026-03","day","ACTIVE_HUMIDIFICATION_LIKELY","9","2.4193548387096775"
"pad_0.7","all","day","PAD_EFFECTIVE","15","0.49261083743842365"
"pad_0.7","2026-03","day","PAD_EFFECTIVE","13","3.4946236559139785"
"pad_0.7","all","all","PAD_MARGINAL","17","0.27928371940200425"
"pad_0.7","2026-03","all","PAD_MARGINAL","8","1.0767160161507403"
"pad_0.7","all","night","PAD_MARGINAL","17","0.5588428665351742"
"pad_0.7","2026-03","night","PAD_MARGINAL","8","2.1563342318059298"
"pad_0.7","all","day","PAD_INEFFECTIVE_DEHU_NEEDED","792","26.00985221674877"
"pad_0.7","2026-03","day","PAD_INEFFECTIVE_DEHU_NEEDED","16","4.301075268817204"
"pad_0.7","2026-04","all","PAD_INEFFECTIVE_DEHU_NEEDED","119","16.52777777777778"
"pad_0.7","2026-04","night","PAD_INEFFECTIVE_DEHU_NEEDED","112","31.11111111111111"
"pad_0.7","2026-04","all","PASSIVE_VENT_COOL_DRY","62","8.61111111111111"
"pad_0.7","2026-04","day","PASSIVE_VENT_COOL_DRY","54","15"
"pad_0.7","2026-04","all","PASSIVE_HUMIDIFY_OPPORTUNITY","27","3.75"
"pad_0.7","2026-04","day","PASSIVE_HUMIDIFY_OPPORTUNITY","15","4.166666666666667"
"pad_0.7","2026-04","all","PASSIVE_VENT_COOL_HUMID","107","14.86111111111111"
"pad_0.7","2026-04","day","PASSIVE_VENT_COOL_HUMID","105","29.166666666666668"
"pad_0.7","2026-04","all","NEUTRAL_MIN_VENT","68","9.444444444444445"
"pad_0.7","2026-04","day","NEUTRAL_MIN_VENT","32","8.88888888888889"
"pad_0.7","2026-04","night","NEUTRAL_MIN_VENT","36","10"
"pad_0.7","2026-04","all","HEAT_VENT_HUMID","36","5"
"pad_0.7","2026-04","day","HEAT_VENT_HUMID","21","5.833333333333333"
"pad_0.7","2026-04","day","PAD_INEFFECTIVE_DEHU_NEEDED","7","1.9444444444444444"
"pad_0.7","2026-04","all","PAD_MARGINAL","3","0.4166666666666667"
"pad_0.7","2026-04","night","PAD_MARGINAL","3","0.8333333333333334"
"pad_0.7","2026-04","all","MISSING_DATA","4","0.5555555555555556"
"pad_0.7","2026-04","night","MISSING_DATA","4","1.1111111111111112"
